Variable;Description;Class;ClassFile;Domain;Type;Sex;Covariates
CALC_AVG_PESO;Weight;Questionnaire;data/phenotypes/questionnaire.csv;Measurements;continuous;both;sex
CALC_AVG_HEIGHT;Height;Questionnaire;data/phenotypes/questionnaire.csv;Measurements;continuous;both;sex
CALC_AVG_CINTURA;Waist;Questionnaire;data/phenotypes/questionnaire.csv;Measurements;continuous;both;sex
CALC_AVG_CADERA;Hip;Questionnaire;data/phenotypes/questionnaire.csv;Measurements;continuous;both;sex
BMI;BMI;Questionnaire;data/phenotypes/questionnaire.csv;Measurements;continuous;both;sex
WHR;WHR;Questionnaire;data/phenotypes/questionnaire.csv;Measurements;continuous;both;sex
CALC_AVG_SYSTOLIC_BP;Systolic Blood Pressure;Questionnaire;data/phenotypes/questionnaire.csv;Blood pressure;continuous;both;sex
CALC_AVG_DIASTOLIC_BP;Diastolic Blood Pressure;Questionnaire;data/phenotypes/questionnaire.csv;Blood pressure;continuous;both;sex
CALC_AVG_PULSE_RATE;Pulse Rate;Questionnaire;data/phenotypes/questionnaire.csv;Blood pressure;continuous;both;sex
HTA_class;Hypertension Class According to the Blood Pressure;Questionnaire;data/phenotypes/questionnaire.csv;Blood presure;continuous;both;sex
is_female;Female;Questionnaire;data/phenotypes/questionnaire.csv;Sociodemographic;binary;both;sex
is_lefthanded;Left Handed;Questionnaire;data/phenotypes/questionnaire.csv;Sociodemographic;binary;both;sex
has_highereducation;High Education Level;Questionnaire;data/phenotypes/questionnaire.csv;Sociodemographic;binary;both;sex
is_livingalone;Living Alone;Questionnaire;data/phenotypes/questionnaire.csv;Sociodemographic;binary;both;sex
cont_freckles;Freckles;Questionnaire;data/phenotypes/questionnaire.csv;Phototype;continuous;both;sex
is_redhaired;Red Haired;Questionnaire;data/phenotypes/questionnaire.csv;Phototype;binary;both;sex
has_fairhair;Fair Hair;Questionnaire;data/phenotypes/questionnaire.csv;Phototype;binary;both;sex
has_bluegreeneye;Blue/Green Eyes;Questionnaire;data/phenotypes/questionnaire.csv;Phototype;binary;both;sex
cont_skintone_darktolight;Skin Tone: Dark to Light;Questionnaire;data/phenotypes/questionnaire.csv;Phototype;continuous;both;sex
cont_healthstatus_goodtobad;Self-Reported Health Status (Good to Bad);Questionnaire;data/phenotypes/questionnaire.csv;Health;continuous;both;sex
cont_mh_nervousness;MH: Nervous;Questionnaire;data/phenotypes/questionnaire.csv;Mental Health;continuous;both;sex
cont_mh_feelingdown;MH: Feeling Down;Questionnaire;data/phenotypes/questionnaire.csv;Mental Health;continuous;both;sex
cont_mh_calm;MH: Calm;Questionnaire;data/phenotypes/questionnaire.csv;Mental Health;continuous;both;sex
cont_mh_sad;MH: Sad;Questionnaire;data/phenotypes/questionnaire.csv;Mental Health;continuous;both;sex
cont_mh_happy;MH: Happy;Questionnaire;data/phenotypes/questionnaire.csv;Mental Health;continuous;both;sex
cont_mh_inability;MH: Inability;Questionnaire;data/phenotypes/questionnaire.csv;Mental Health;continuous;both;sex
cont_agemenarche;Age at Menarche;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;continuous;female;
cont_agemenopause;Age at Menopause;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;continuous;female;
cont_pregnancy;Number of Pregnancies;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;continuous;female;
cont_femalenchildren;Female: Number of Children;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;continuous;female;
cont_agebeard;Age Beard;Questionnaire;data/phenotypes/questionnaire.csv;Men Health;continuous;male;
cont_agevoicechange;Age Voice Change;Questionnaire;data/phenotypes/questionnaire.csv;Men Health;continuous;male;
cont_malenchildren;Male: Number of Children;Questionnaire;data/phenotypes/questionnaire.csv;Men Health;continuous;male;
father_age_at_death;Father's Age at Death;Questionnaire;data/phenotypes/questionnaire.csv;Family;continuous;both;sex
mother_age_at_death;Mother's Age at Death;Questionnaire;data/phenotypes/questionnaire.csv;Family;continuous;both;sex
cont_nsiblings;Number of Siblings;Questionnaire;data/phenotypes/questionnaire.csv;Family;continuous;both;sex
mets_semana;METS per Week;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
mets_libre;METS per Week in Sport;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
sedentarisme;Hours of Sedentarism per Week;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
ubes_semana;Standard Drinks per Week;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
fototipo_score;Fitzpatrick Skin Score;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
predimed_score;PREDIMED Score;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
predimed_high;High PREDIMED Score;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;binary;both;sex
cont_smokingstartage;Smoking Starting Age;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
smoking_packs_year;Smoking Packs per Year;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
smoking_status;Ever Smoker;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;binary;both;sex
mhi5_score;MHI5;Questionnaire;data/phenotypes/questionnaire.csv;Mental Health;continuous;both;sex
asma_score;Asthma Score;Questionnaire;data/phenotypes/questionnaire.csv;Health;continuous;both;sex
civil_status_ever_married;Ever Married;Questionnaire;data/phenotypes/questionnaire.csv;Sociodemographic;binary;both;sex
coffee_intake;Coffee Intake;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
tea_intake;Tea Intake;Questionnaire;data/phenotypes/questionnaire.csv;Lifestyle;continuous;both;sex
cont_agefirstbirth;Age at First Birth;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;continuous;female;
cont_replifespan;Reproductive Lifespan;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;continuous;female;
oc_use;Oral Contraceptive Use;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;binary;female;
hrt_use;Hormone Use;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;binary;female;
ord_birthweight;Birth Weight;Questionnaire;data/phenotypes/questionnaire.csv;Measurements;continuous;female;
ever_pregnant;Ever Pregnant;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;binary;female;
ever_pregnancyloss;Ever Pregnancy Loss;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;binary;female;
ever_multipreg;Ever Multiple Pregancy;Questionnaire;data/phenotypes/questionnaire.csv;Women Health;binary;female;
